date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
09/01/2021,40561.63637,40199.56105,-0.008926546,38755.08074,41397.46708,40076.27391,40076.27391,0,26547.45245,22241.40171,19211.82086,17090.55572,15925.49023,15020.56831,-0.337576829,-0.445023213,-0.520618586,-0.573549284,-0.602620487,-0.625200478,Extreme Greed,93
10/01/2021,40199.56851,38173.79756,-0.050392853,35495.07415,41403.11305,38449.0936,40076.27391,-0.040602086,27231.01101,22621.61049,19511.53618,17324.44399,16104.89838,15183.06115,-0.291764553,-0.411647756,-0.492535861,-0.549418663,-0.581137112,-0.605112638,Extreme Greed,94
11/01/2021,38173.79817,35434.22999,-0.07176567,30535.81636,38173.79817,34354.80727,40076.27391,-0.142764436,27759.8745,22928.72295,19766.115,17524.04143,16255.51318,15322.67848,-0.191965355,-0.332590552,-0.424647769,-0.489910064,-0.526834395,-0.553987354,Extreme Greed,90
12/01/2021,35434.23078,34090.99372,-0.037907894,32561.13119,36608.9864,34585.05879,40076.27391,-0.137019103,28276.77722,23234.64289,20023.58836,17724.67618,16406.95618,15464.06536,-0.182399041,-0.328188423,-0.42103356,-0.487504813,-0.525605659,-0.552868612,Extreme Greed,84
14/01/2021,37364.78301,39117.18194,0.046899749,36776.38148,40045.90611,38411.14379,40076.27391,-0.041549025,29445.3278,23927.36739,20587.26692,18156.99222,16737.70912,15771.01568,-0.233417053,-0.37707225,-0.464028798,-0.52729884,-0.564248615,-0.589415619,Extreme Greed,83
15/01/2021,39117.17734,36738.07836,-0.060819802,34430.25271,39672.76394,37051.50833,40076.27391,-0.07547522,29999.52238,24271.81271,20872.91607,18374.82764,16903.92296,15925.88646,-0.190329254,-0.344917014,-0.43665138,-0.504073425,-0.54377234,-0.570169011,Extreme Greed,88
16/01/2021,36738.07921,36006.68163,-0.019908433,35454.18687,37929.60104,36691.89396,40076.27391,-0.084448468,30473.43485,24596.62761,21153.52608,18589.47063,17069.67905,16078.65737,-0.169477736,-0.3296441,-0.423482306,-0.493363012,-0.534783376,-0.561792657,Extreme Greed,84
19/01/2021,36665.32595,35908.44903,-0.020642853,35908.44903,37844.03448,36876.24175,40076.27391,-0.079848545,31754.78944,25503.05015,21957.58602,19220.93904,17558.91337,16523.68802,-0.138882165,-0.308415149,-0.404560091,-0.478771748,-0.523842113,-0.551915075,Extreme Greed,80
04/02/2021,37651.51168,36959.76255,-0.018372413,36266.16105,38725.23893,37495.69999,40076.27391,-0.064391563,35088.56857,29510.69374,25501.64252,22274.45073,19944.26309,18527.76659,-0.064197533,-0.212957919,-0.319878212,-0.405946529,-0.468091992,-0.505869564,Extreme Greed,80
05/02/2021,36959.76954,38291.95918,0.036044317,36624.92676,38341.66213,37483.29444,40076.27391,-0.064701111,35165.72447,29813.87664,25750.58795,22498.28578,20126.34788,18671.20571,-0.06182941,-0.204608958,-0.313011614,-0.399778325,-0.463058192,-0.501879278,Extreme Greed,81
06/02/2021,38291.9617,39231.94804,0.024547876,38235.67945,41014.02168,39624.85056,40076.27391,-0.011264105,35207.74255,30161.42624,26021.95833,22738.01578,20322.68484,18825.68826,-0.111473178,-0.238825489,-0.34329195,-0.426167785,-0.487122739,-0.524901974,Extreme Greed,84
07/02/2021,39231.93761,38845.3385,-0.009854194,37387.73336,39698.25339,38542.99338,40076.27391,-0.038259059,35182.74023,30501.25833,26279.60988,22965.31157,20510.57057,18975.6848,-0.087181946,-0.208643241,-0.318174133,-0.404163778,-0.467852163,-0.507674855,Extreme Greed,86
08/02/2021,38845.37552,46444.16662,0.195616364,38065.99709,46494.92347,42280.46028,42280.46028,0,35256.21311,30901.83278,26579.67218,23222.91892,20723.6872,19147.27737,-0.166134596,-0.269122602,-0.371348561,-0.450741104,-0.509851902,-0.547136496,Extreme Greed,83
09/02/2021,46444.16444,46489.42997,0.000974623,45075.00326,48241.30515,46658.15421,46658.15421,0,35529.84846,31380.42973,26924.35648,23516.11425,20965.52488,19342.39006,-0.238507201,-0.327439538,-0.422944243,-0.49599133,-0.550656788,-0.585444594,Extreme Greed,95
10/02/2021,46489.42783,44844.95992,-0.035372944,43834.51512,47333.50465,45584.00989,46658.15421,-0.023021578,35904.15522,31832.01486,27253.86704,23800.62505,21200.06419,19530.28685,-0.212351978,-0.301684627,-0.402117824,-0.477873379,-0.534923228,-0.571553997,Extreme Greed,92
11/02/2021,44844.96038,47991.08136,0.070155508,44035.45761,48640.50984,46337.98372,46658.15421,-0.006862048,36295.91938,32286.3483,27588.40172,24091.67112,21438.92482,19721.78338,-0.21671345,-0.303242271,-0.404626626,-0.480088058,-0.537335829,-0.574392716,Extreme Greed,93
12/02/2021,47991.085,47405.68241,-0.012198153,46312.79375,48889.01069,47600.90222,47600.90222,0,36711.03684,32760.02331,27939.18492,24393.029,21684.31702,19920.55077,-0.228774348,-0.311777261,-0.413053459,-0.487551121,-0.544455756,-0.581508966,Extreme Greed,92
13/02/2021,47405.68495,47179.38541,-0.004773679,46289.09684,48151.62347,47220.36015,47600.90222,-0.00799443,37004.67739,33225.00259,28286.47072,24691.61954,21926.52926,20115.53716,-0.216340636,-0.296383965,-0.400968764,-0.477098026,-0.535655188,-0.574007121,Extreme Greed,92
14/02/2021,47179.39019,48632.99003,0.03081006,47098.99168,49687.61196,48393.30182,48393.30182,0,37382.73717,33691.12978,28642.12087,25000.37135,22176.40954,20317.05866,-0.227522492,-0.30380593,-0.408138734,-0.483391907,-0.541746301,-0.580167959,Extreme Greed,95
15/02/2021,48632.99588,47929.51925,-0.014465007,45925.80901,49011.33612,47468.57256,48393.30182,-0.019108621,37741.95979,34107.69732,28978.40501,25300.63451,22419.96846,20515.05917,-0.204906367,-0.281467812,-0.389524407,-0.467002416,-0.527688168,-0.567818073,Extreme Greed,93
